Min,Max,Mean,Standard Deviation
2.5003764867740703e-124,7.519755194345121e-108,2.519046885522561e-109,1.349611911768622e-108
Fitness Values
1.1939416671460057e-120
4.5584646973199965e-117
1.646843626482149e-119
1.9897754933960012e-113
9.987402394535852e-122
3.385856742604855e-112
1.6217502655396783e-120
6.925014809162608e-113
2.4516054915123045e-115
2.2352267406134365e-118
2.5003764867740703e-124
2.794985291163171e-113
1.5544307608026653e-118
1.017329297819104e-111
1.3319559926032378e-122
1.1710581016123934e-110
7.984092915953351e-116
1.1386469519030882e-117
7.410756781443223e-120
1.916176803203333e-110
4.8021770510965255e-113
4.2949328458582474e-120
2.3013425031998405e-122
1.7772312190244542e-119
6.137555005323955e-119
4.654572003272717e-121
2.0040962434472635e-120
3.437268780897287e-114
7.519755194345121e-108
4.9883102167963896e-111
