Min,Max,Mean,Standard Deviation
9.93586786637854e-150,1.4512359355837336e-132,8.630498827935356e-134,3.2200657431772674e-133
Fitness Values
6.07315187915495e-138
1.1519267651510618e-143
1.8714756353084547e-135
2.2346851098764708e-145
1.4512359355837336e-132
4.897282849395018e-137
2.3139248027255886e-140
9.823759326731782e-145
7.995160405798586e-139
1.557876540594952e-147
4.522850312794111e-140
4.8582588872890835e-141
1.818171355340129e-141
7.252875135238362e-136
1.1079347083623291e-132
6.906875656563645e-138
1.0366101493653372e-139
3.52470574421508e-147
5.790554457041628e-142
5.462108123491791e-135
3.743471056993124e-141
1.9149720815425164e-141
2.1553975828949776e-134
8.195367557036603e-139
1.9809840678972584e-136
9.862647975884611e-137
3.614883191801158e-146
2.170432657589666e-140
9.93586786637854e-150
5.653878107721477e-138
