CSA,ECSA
3.4543434779266136e-10,7.422062964224097e-12
2.2812862709997717e-12,1.9229062786507711e-13
1.0627054791711998e-12,2.5623947408348613e-13
9.705347636668193e-11,2.1715962361668062e-13
1.4456746910695983e-10,6.434852650727407e-13
1.0145173590103695e-10,1.2794210135780304e-12
2.842425006477356e-08,3.2525537818628436e-11
2.2710766600653187e-10,3.952393967665557e-14
1.5886714166413185e-10,2.348787830896981e-12
1.8722845496199625e-10,1.4357404154452524e-12
1.9204593471044973e-10,8.033573806187633e-13
5.977622841157881e-10,3.9479530755670567e-13
7.393876622074913e-10,7.891465259035613e-13
3.5120319985537662e-09,2.349231920106831e-13
2.4398305598083425e-10,1.0347278589506459e-13
1.1253975529257332e-10,4.658495811327157e-13
5.559686044875889e-11,4.551914400963142e-13
2.0300650049875912e-11,1.408158034621465e-10
3.9346703673004413e-10,2.384314967684986e-12
3.3336933213945485e-10,1.461275545011631e-11
6.80554723686555e-10,1.666666804567285e-12
3.461808617544193e-11,1.212363542890671e-13
2.1178170328539636e-11,2.227995565817764e-12
8.490244063352748e-10,1.283417816466681e-13
8.353184810516723e-11,1.205124888770115e-11
3.0035085529789285e-11,1.6204815267428785e-12
1.6529400070908196e-10,1.851852005074761e-13
2.4977042656360027e-10,3.241851231905457e-14
9.636424991299464e-11,1.730615650785694e-12
2.971966228670908e-09,1.1057821325266559e-13
