Algorithm,Minimum,Maximum,Mean,Standard Deviation
Cuckoo Search,0.0,2.4760204553331278e-08,1.1594858998857186e-09,4.426390631851109e-09
Enhanced Cuckoo Search,0.0,6.849631972727366e-12,3.3312611928219363e-13,1.2586871260285859e-12
