CSA,ECSA
-3673.3707232945267,-3093.0085204652487
-2068.610799505413,-3651.4491209801745
-3557.7676119399066,-3838.437805990725
-3524.8291670682565,-3471.5457164507698
-3608.154766698637,-3872.834508204787
-2875.2938708498373,-3833.9544109728213
-2592.2881581076845,-3896.6419921682436
-2850.1040956866823,-3886.488463052731
-4396.284399144138,-3844.1444044611317
-3234.479842849922,-2826.282026296525
-2991.752113491077,-4285.673123511979
-3256.3828634871093,-4151.392893207684
-3653.84481510364,-3302.262719798266
-3650.1190899565686,-3118.711471568836
-3518.832512129316,-3962.4238733664943
-3197.368693085849,-3849.053788622234
-3220.490651457709,-3327.769700780886
-3123.196926274441,-3661.4615183148726
-3801.3362931346387,-4514.167031722149
-3224.7239121573903,-4379.815983392897
-3077.333340586525,-3964.0811622777883
-2966.3809335642145,-3555.0174756921424
-3317.968351262679,-4223.793927941475
-4259.092918227793,-3508.4552674515467
-3143.448538381478,-4140.518996090341
-2621.4645858593394,-3254.3887503756328
-3587.7474816951126,-4299.774708825991
-4151.513747173191,-4176.966086255222
-2769.6863291069412,-3256.990632307829
-2885.450060863502,-4148.473877691888
