Algorithm,Minimum,Maximum,Mean,Standard Deviation
Cuckoo Search,3.552713678800501e-15,8.765564274426652e-09,4.623158152602021e-10,1.583546719500304e-09
Enhanced Cuckoo Search,0.0,4.7414516757271485e-11,3.1745865195868345e-12,1.1455702154010003e-11
