CSA,ECSA
-3367.2758026672304,-4389.858430809984
-3763.679511929926,-3124.6711299263293
-3382.9490713043087,-3644.8425030019243
-3131.6343114454353,-3742.655407796722
-3551.32506933745,-3594.8226356550344
-3711.4638572679914,-2935.934930120897
-4039.322944908435,-3258.7505140931535
-3728.4818816141224,-3301.3972465653737
-3002.899385715979,-3377.5124528628235
-3338.9491720959645,-3763.0357869146073
-3135.52031668392,-4043.216078380384
-2803.738314108941,-3684.633100609397
-3820.9781228145457,-3684.4879701549908
-2889.328140325318,-3367.4769369359824
-2999.0066670486694,-4485.697332559821
-3395.521229543038,-2297.8216701082047
-2870.069788413914,-3807.270382389767
-4059.973084041769,-3345.112923159147
-4324.462970885486,-4499.69086928106
-4001.037439254792,-3218.241240682422
-2513.810833050591,-2812.141340893382
-2889.7958742766673,-3926.629244102026
-3096.804547530046,-4212.416922284941
-3727.174897133344,-3339.752599149006
-3108.025318238841,-3734.085835186071
-3748.4987084842705,-2576.148235878066
-3316.597587423263,-3806.9547834769073
-3302.4308681948983,-3978.957609623507
-3170.8275000296717,-2954.686119126396
-4063.412294219296,-3607.826648305735
