Algorithm,Minimum,Maximum,Mean,Standard Deviation
Cuckoo Search,3.552713678800501e-15,2.0233557052051765e-09,1.8160631517124177e-10,4.136181651287457e-10
Enhanced Cuckoo Search,0.0,2.1032064978498966e-12,2.1659711061753721e-13,4.603202762547266e-13
