CSA,ECSA
8.894057060346905e-112,7.578704172906957e-144
3.079204867715889e-118,7.471107165650037e-151
1.1519767481624807e-113,1.7047476824998632e-148
1.0620713445770885e-117,3.576685848890015e-135
2.009917065015673e-115,1.8495147552035408e-137
6.880263963631607e-108,7.988661433217975e-133
9.170632993017217e-109,6.156563883476764e-139
5.6058208636903446e-114,1.6374159257471483e-134
7.864099542949899e-110,5.26917217179013e-141
2.3506346857329874e-112,7.693472084200518e-143
2.088266036076647e-110,1.3565181205201089e-146
2.0741961786737552e-113,5.739642065480093e-138
4.1847945234937346e-116,7.189574526072568e-142
2.542327111300474e-123,6.701121973060128e-140
9.077588972750415e-114,3.4257702269163107e-136
5.076201340276938e-115,1.6618978546161877e-133
5.938461353243996e-113,1.2538622838713742e-136
1.3577156636100482e-117,5.0572582993407506e-138
5.1272569266327115e-111,3.2962848778935714e-134
1.4594075989731555e-115,2.5320670769982093e-133
2.6987853354239643e-118,3.510312449830422e-131
5.071258332206846e-119,1.525617952914105e-146
1.7702316553801923e-118,3.1370508925645204e-136
1.68819506034921e-109,3.4092912616186233e-143
6.033860800599728e-106,6.666925211498493e-144
4.908859731798708e-112,6.336021810969706e-136
4.959387293558863e-120,7.949631276250662e-139
5.337129900685954e-116,8.031044091513687e-142
1.0355073142172381e-117,8.538264684813129e-138
1.6525566230229058e-112,2.4869449491512883e-141
