Algorithm,Minimum,Maximum,Mean,Standard Deviation
Cuckoo Search,2.1316282072803006e-14,7.784803912613825e-08,3.6287389093558884e-09,1.410500481081295e-08
Enhanced Cuckoo Search,0.0,4.89173146434041e-11,2.0615213240186373e-12,8.795974375752511e-12
