CSA,ECSA
15485.899615242124,17540.600354073562
11078.298342266544,10499.061406776771
7916.543085298734,7252.334214558363
4580.639394602685,4892.19013443162
3265.9262982317587,2970.722517884069
2160.9132032568,1921.1891100312466
1467.054778210549,1306.0885468269955
1146.0000696759232,1001.3775482799417
734.559564887621,740.4776057548364
504.58141018530085,376.9034069235643
315.69471528233737,289.8075578575503
190.7674092503012,190.59049912359635
129.5395856791062,135.40374862952808
75.26918364781062,76.37825506784533
55.73463155428896,49.7171533982471
25.703658118929315,32.3161060947652
17.041832604764593,17.391128295016138
12.425975286870543,14.92586676736146
7.813956544225321,7.889203725587382
4.830089522811023,3.609623800037761
3.23790867911572,2.600316200308069
2.1534351522762107,1.7746495549267676
1.2996014659477124,1.067233396911867
0.9066081003763062,0.5403093468556283
0.5744516776014702,0.3309777995675832
0.35743409473401944,0.23051886359734397
0.24455558994237864,0.16406456084385782
0.15146667693039956,0.10764042019863643
0.10663032422477713,0.05834705715710207
0.0684400234036295,0.04654525845356721
0.046135163571563366,0.022707310522332436
0.0239470937799608,0.011302692658525043
0.012528623858707382,0.004858759283850259
0.006655258232372941,0.0031227528119676445
0.005255178468142555,0.0019443841503222227
0.004496841734526358,0.0013623770681493684
0.002290632266550461,0.0008113283856153337
0.0013208064231421518,0.0005800676136811625
0.0009562931003597224,0.00041236114770292094
0.0006619399107300057,0.0002240020707250146
0.000502418963494581,0.00017569323648958493
0.000422904243828798,3.849979759186463e-05
0.00030803994996226605,1.7597130531387444e-05
0.00021289257487320322,1.4401337361458317e-05
0.0001696611415069386,8.670986769119652e-06
5.335082576026587e-05,5.3650371576227804e-06
3.251382151405143e-05,2.309748469863452e-06
1.1529399769638223e-05,1.129814913544711e-06
9.403622370740315e-06,9.263062771417838e-07
5.584447313274245e-06,6.647132473400517e-07
4.257337078417704e-06,4.2879844727134706e-07
2.7890172154634056e-06,3.0110654684645045e-07
1.9053566840605446e-06,1.5662698948027512e-07
8.107119033730065e-07,1.0920074659831135e-07
6.727905450385007e-07,4.386612800749311e-08
5.660699442236493e-07,2.494380137297977e-08
4.1226120708568013e-07,1.942245384621074e-08
2.2667139865375185e-07,8.059889563365276e-09
1.4556236646503927e-07,5.193914507194438e-09
5.8577177402060926e-08,1.3218321696793589e-09
5.377282718873576e-08,7.624874815475743e-10
3.6364606532213586e-08,2.4600732153077384e-10
1.0048869070047731e-08,1.5505119546039365e-10
6.099431346775036e-09,1.3374335817032492e-10
4.84500567569422e-09,6.981066524379766e-11
4.180702629575694e-09,2.6362465481181672e-11
1.7122321188900412e-09,5.694928070003164e-12
1.4406960395013403e-09,4.397498103193536e-12
1.0393763497753184e-09,2.377876257068221e-12
6.62959253782783e-10,1.1406859296954852e-12
3.233807623178739e-10,3.4648438683767245e-13
2.9362830461918284e-10,2.0811627109663894e-13
2.508702441538195e-10,1.4229048304567774e-13
7.109801481439223e-11,8.885579007343418e-14
6.338792768846148e-11,5.521773885627803e-14
1.8127627571216774e-11,1.32082934087718e-14
7.680445119272148e-12,8.472171598991192e-15
6.327210095892913e-12,4.294782757654803e-15
5.884955788788122e-12,2.828421083675284e-15
5.015480107972149e-12,1.881602153842562e-15
1.2335350492140972e-12,1.0379871610719044e-15
1.0383144806772154e-12,5.098222371764573e-16
9.657566727722722e-13,3.192959861703433e-16
2.517786233031288e-13,2.7956144589682844e-16
1.417840978911032e-13,8.553948093955879e-17
1.1362375457377104e-13,5.354857129876534e-17
7.424395039386369e-14,2.0329389272459602e-17
5.493592484290629e-14,1.3071919523629382e-17
3.454808365575087e-14,5.1358711579143425e-18
1.8683216824339124e-14,2.039077082741188e-18
9.077357188005113e-15,1.397149714749439e-18
6.345554735760477e-15,3.5361693673360156e-19
5.8363488528814995e-15,1.2985144323618045e-19
3.4216223513989282e-15,6.386973180755637e-20
2.1548329706249847e-15,3.864970473797182e-20
4.474487564268906e-16,2.7342184174693574e-20
4.229079376239177e-16,8.67668317619233e-21
2.3107223001395857e-16,1.9605044942657034e-21
1.1637333528283547e-16,1.1061791929127355e-21
1.020219306601937e-16,7.131531307333841e-22
7.252052994709752e-17,2.9462524539435363e-22
3.9568658681358885e-17,2.6083338219731046e-22
2.214377867990244e-17,2.2765583188270658e-22
1.2296839160093953e-17,7.022051856613117e-23
6.906909502229184e-18,4.6179086009420534e-23
2.2159367306432667e-18,3.453176742662985e-23
1.910654262519644e-18,9.954149020678901e-24
1.2471359059486089e-18,3.357755857074732e-24
1.0450932464939608e-18,1.0591144175818278e-24
5.209073090680895e-19,6.829690512068061e-25
3.1922897978898384e-19,4.808483762453934e-25
1.76033816451619e-19,3.505601045180504e-25
1.2378224509437979e-19,1.3540835744458855e-25
6.287619444040433e-20,4.457583683640196e-26
3.002628814175243e-20,2.1705503622753692e-26
2.136599601890301e-20,9.964520835211202e-27
1.313697336866495e-20,4.335621729192196e-27
8.321436194767687e-21,2.353555694270854e-27
7.462320088515783e-21,1.3138331277956356e-27
2.769793513558314e-21,4.636447698791449e-28
1.5867737632791302e-21,3.844839748066637e-28
7.286475317545133e-22,2.1825500798088464e-28
6.742620950766369e-22,1.1032024497051543e-28
5.6572363913135405e-22,7.48268470164762e-29
3.245460514405718e-22,4.531136917913021e-29
1.5645500391804125e-22,2.581807834847384e-29
8.576457597945024e-23,1.028812698329879e-29
7.611088695187168e-23,7.98743295585864e-30
7.086037269294603e-23,5.442840623646224e-30
2.800780055367184e-23,3.9544279259235716e-30
1.97181105226605e-23,2.2302446006397762e-30
1.2388050317897615e-23,1.276766712556087e-30
6.762341442910881e-24,8.436104555386985e-31
6.469810501166687e-24,4.549869784174397e-31
3.246331622387166e-24,3.334604404760505e-31
3.033954055666818e-24,1.772018409388742e-31
2.1195003823757178e-24,1.2766644856873605e-31
1.8112628522912255e-24,4.941824559429682e-32
8.055245219497542e-25,3.187756960220203e-32
5.972558455564774e-25,2.2514770804924278e-32
4.148073623145322e-25,1.1162331583500453e-32
2.7866930862400825e-25,5.625785272283871e-33
1.7079068331684739e-25,4.344089697316588e-33
1.6346449822816126e-25,1.5772849319456704e-33
1.161884054437409e-25,1.2763932902418454e-33
8.723895358761515e-26,8.633288056250549e-34
1.9990357892994897e-26,7.374877720835933e-34
1.7205491468937272e-26,3.4843377746593083e-34
1.510581640183164e-26,1.4861105070935691e-34
1.488432336100467e-26,1.3620101603058538e-34
5.435779970781308e-27,7.450181880220298e-35
1.7723243602476038e-27,5.599752632602159e-35
1.2626296235007802e-27,3.696821700117206e-35
6.785014476265009e-28,1.7535313231309803e-35
6.74799866787844e-28,1.0770702806978045e-35
4.975405790728877e-28,6.549536153615565e-36
1.9892941677847054e-28,3.024942032729702e-36
1.9186170773402862e-28,2.0809762300385298e-36
7.074031018597916e-29,1.700673992789445e-36
6.046021873768316e-29,6.760732041965185e-37
5.682941198875071e-29,2.520828948228026e-37
4.0839998472418355e-29,2.173421813112724e-37
2.0409411279436855e-29,1.6345615893476965e-37
2.0349735869248074e-29,9.895090462090995e-38
1.5830244984415303e-30,1.8031492824842076e-38
1.2195999945334794e-30,1.6350606314863502e-38
3.198768297980739e-31,9.125498375969827e-39
2.3769544668148024e-31,6.005948462882648e-39
2.345007442461556e-31,1.695165476026212e-39
2.2255329363738843e-31,1.0057539282768214e-39
1.889404076653266e-31,7.026189229111165e-40
4.865999693129468e-32,3.1564449816601755e-40
4.6650862498753395e-32,2.5246029079662946e-40
1.2123758715108631e-32,8.388392278952948e-41
1.0941276546198908e-32,4.4082387018034587e-41
9.48300476691318e-33,1.6364142908046142e-41
5.7783548076033914e-33,1.5813314879216035e-41
5.141218645498412e-33,9.545772453093785e-42
6.976341426914454e-34,7.437819006319752e-42
4.206921398683536e-34,2.411327710118227e-42
3.927664764054682e-34,1.3861544799684004e-42
1.024562676167522e-34,7.090193476134445e-43
8.468620141764887e-35,4.18734724716213e-43
3.527320154895097e-35,1.970176772180987e-43
3.480400435861213e-35,1.1979576901179482e-43
3.4526263395257225e-35,6.349554426970272e-44
3.2811590832656814e-35,1.67380792672632e-44
2.1033343297519953e-36,1.1475871623151406e-44
2.0992569506875984e-36,3.808315604923619e-45
1.5746449160780806e-36,2.2823643369646455e-45
1.4922631993733913e-36,5.142435244976194e-46
1.309078711152772e-36,4.458982625703618e-46
1.0007055097705277e-36,2.7900803521583033e-46
2.932732033593707e-37,1.713642248568758e-46
9.358177282753068e-38,4.863018273132088e-47
8.939208208064746e-38,1.4767614772513997e-47
8.893651042638316e-38,9.498581230564163e-48
2.3859849164058116e-38,6.281179240990385e-48
2.3027694710154377e-38,2.5016557853444775e-48
1.782398898893203e-38,6.671088519526713e-49
1.67675028861229e-38,5.5233944665737295e-49
6.061236848422806e-39,1.7913093631040424e-49
4.017785658254239e-39,1.2861168926339964e-49
1.4727872022607752e-39,6.126152523377514e-50
1.4721114443404384e-39,3.6914864883051483e-50
3.753834525016188e-40,1.7701735573753212e-50
3.749583755192394e-40,1.083295300126609e-50
2.9753917094083412e-40,2.9443126715823385e-51
1.5383221862900419e-40,2.331149639978729e-51
1.535841436664009e-40,1.8386879711929776e-51
1.4717982304628013e-40,1.2527430736995922e-51
6.410098375062236e-41,4.347089469674374e-52
4.817532692171141e-41,1.9913609950912412e-52
8.600770998954383e-42,3.731601968231412e-53
8.40503907299463e-42,2.316506779555118e-53
2.8469383686932415e-42,1.7814410279601132e-53
2.8442630290561993e-42,1.1011836378998759e-53
2.5938834866381606e-42,6.354610692655645e-54
2.6430589389000483e-43,6.083665108298225e-54
2.64243946981159e-43,1.6263937021536335e-54
4.689823739887345e-44,1.5524543547621954e-54
4.322344781917385e-44,1.1402064426399794e-54
6.780697947137838e-45,7.520714005501178e-55
6.698859025617654e-45,1.7205395897081846e-56
6.607054433362737e-45,1.3195323869012746e-56
6.597505998650063e-45,7.889542215318061e-57
5.585847837053478e-45,6.250893442109263e-57
5.536410319253512e-45,3.281166868592448e-57
5.5221767813901156e-45,1.2388184952260286e-57
2.0050688764730497e-45,7.885875255370435e-58
1.8750290141208728e-45,2.62843347343009e-58
3.902230128081551e-46,1.0790147691853154e-58
3.686025124727796e-46,5.033865573048004e-59
2.5437846039332885e-46,2.8874199471085875e-59
2.4424540264126395e-46,2.4521731560703463e-59
6.404674564941129e-47,1.3693493366014077e-59
