CSA,ECSA
8.829215922975623e-59,1.452904788875365e-74
4.119099072529031e-65,5.758180995334139e-73
1.78352694558458e-61,7.326955363838198e-74
1.288690599862945e-59,1.4099232081107411e-74
1.3951217607907997e-61,5.910513403244677e-74
5.187571102802098e-59,7.696881129067773e-74
1.9149774229727926e-62,1.6702389337058256e-76
4.602826120800412e-60,3.1966489885975284e-72
1.1106857125498495e-61,7.979908008695864e-73
1.0208912183423185e-61,1.3834047864672283e-74
3.3764224523169162e-62,7.696878541337862e-70
3.4890865239415156e-60,3.961247078779786e-74
1.9027763266266966e-61,3.426037681814601e-76
3.241582452238148e-59,4.485243195799406e-74
7.954787947596948e-64,1.4913157941402977e-72
3.1534554381734917e-60,2.584141546977767e-75
3.829651638090616e-61,3.0581872821098886e-72
1.0453599427916456e-59,1.66915651048302e-76
4.933125963082179e-61,3.6476350289977524e-75
1.3824082242406964e-61,1.1263665236439307e-71
6.692260354793575e-58,7.490047523993003e-74
4.0827373665473024e-60,8.234351407246915e-70
4.86265616559543e-58,4.2709522301195246e-73
3.457253786168395e-61,6.140653823288107e-72
1.1529986369962967e-65,4.319764364577855e-76
1.3329262149131778e-59,5.159817287568065e-75
2.295008052023669e-61,3.2421297505538043e-71
4.625987601273303e-60,1.3645521955487655e-71
2.5815742967352344e-60,1.3832643638355154e-74
1.8020580136776992e-61,5.200853236616247e-74
