CSA,ECSA
26108.98367341114,30387.071301431457
21540.421176436383,24530.10784146754
16983.951804392433,17905.58939603374
12168.398678744978,13984.688116047562
10246.53838468899,9558.638682000126
6789.039435173422,6774.074873439505
4891.581341494183,5669.584493357516
3707.8009180606646,3849.713472696409
3062.844203483816,2716.4181443468747
2246.5941030477366,2252.412985474353
1780.2456628916505,1748.1169750274526
1327.0351892606752,1205.9256356874316
997.6403795074161,824.9582714982182
769.3758887609583,630.6543988420541
561.7206674626874,518.215408059442
414.899442598602,331.13208892286065
305.77346007921756,260.3433169724887
231.48326055435433,183.45435681795254
193.34037886088646,147.14458131592698
149.41103707254223,110.14329043471777
112.83511931991903,64.22522702037945
91.94926586078051,51.07848163765736
73.96846968392398,37.39776550040322
56.23639261933183,24.2948587842004
49.977151572443134,22.363437303974216
27.01770731925203,17.30441501594556
22.746365384444815,7.350707766931831
20.22379945827104,5.2329679700218295
14.755154713625126,4.418969621186292
10.143382670520255,3.6708691028173193
8.972991995283786,2.304922804918051
7.820739137557047,1.649076819954551
5.853230560814642,1.470521978503104
3.7853179080142723,0.85405580273121
3.5964892991972026,0.7194964988591322
1.9506884530136523,0.4507252974476035
1.8254884552927597,0.4412975671154682
1.6799191829745272,0.2429209479827668
1.3440145008470454,0.22575000155692132
0.8082910681169032,0.16824976352694856
0.7773661783558358,0.07238835622922056
0.6395734300892907,0.04645955753647509
0.41367157301048274,0.04513903455063655
0.34019877635975704,0.03791623374021708
0.20202322455478935,0.022110324361901225
0.17293264832730282,0.00847146414812071
0.10474829553723326,0.007506069880413988
0.10278966855814081,0.004805559348591586
0.06394153211973581,0.0030506453075196077
0.06011451679687079,0.002334302171503083
0.04884634639118842,0.002090838783909199
0.03699899832867838,0.0005023331159454509
0.03409351107727989,0.000485556947023922
0.022334739938146515,0.00045606881478117846
0.019144645934295372,0.00027470242926919727
0.014403466147915189,0.00026712179028772214
0.014369543408308445,0.00023869627587651623
0.012839891263288427,5.745438325881911e-05
0.010315661325638601,5.4615971368572415e-05
0.003931682153314735,5.321126581394829e-05
0.0038558158948295554,3.959021719992052e-05
0.001190631567043839,1.01397234000286e-05
0.0010312239489785832,3.6311709550151804e-06
0.0010244322699433368,3.3141903718755816e-06
0.0003387585782061075,2.758172178763168e-06
0.0003373136770635833,2.6399824727903686e-06
0.0003118109662533523,4.1143144654385744e-07
0.0002799515350755571,3.813169043640193e-07
0.0002715311783224144,1.4089602010597355e-07
0.00020039578031819268,1.3654709560387553e-07
0.00019920414595816978,6.306259725361376e-08
0.00015179876951820675,2.3298781872060192e-08
0.0001517246021339008,2.2839080071800464e-08
0.00011680407121789665,1.4455944211307654e-08
0.00011643748551307982,1.0991834649158027e-08
6.720656620008486e-05,6.7201837506825595e-09
3.602815225477179e-05,1.1673047614061791e-09
3.500809799654932e-05,3.414157316244602e-10
3.487254159912298e-05,3.190704226728602e-10
1.8439969024828814e-05,1.7813503080773528e-10
1.470285439421952e-05,7.877732227651719e-11
1.4127158393954276e-05,5.994292323346523e-11
1.412503926287193e-05,4.239433346608047e-11
9.390780838833496e-06,3.7697453589264824e-11
9.322317364243261e-06,7.2268330597890625e-12
9.322149686079917e-06,3.761238315114545e-12
5.568320201589134e-06,2.2086803425337806e-12
1.4770647576929223e-06,1.5376670126295212e-12
1.4480254738916753e-06,1.4349421384941105e-12
1.1560689444997438e-06,1.827878551194153e-13
5.473826673351033e-07,1.3314276084350886e-13
5.46115229790987e-07,2.9558848582546176e-14
2.9029296218627757e-07,1.798493197343649e-14
2.902843000328915e-07,1.6485587344437955e-14
2.894779871317518e-07,6.1071258257606625e-15
1.4562709471500582e-07,3.0665088190273562e-15
1.4561959108312363e-07,2.7427847723635605e-15
1.3741525129716105e-07,2.1738412564825028e-15
9.259196383991504e-08,1.0463213314486237e-15
9.187153074215028e-08,8.4368734516117325e-16
2.586253557666516e-08,6.203634191471894e-16
2.5860986021994383e-08,2.369246217751727e-16
2.5373133006606378e-08,1.634845374286587e-16
2.4271547409684447e-08,2.4583118276179818e-17
2.3783664084383168e-08,2.279330544337918e-17
7.927547807512064e-09,1.4509942649071728e-17
7.926971554408885e-09,1.2358724224383581e-17
7.396852812327639e-09,7.83340499161005e-18
4.910508616064857e-09,5.300779254732889e-18
4.910466347737112e-09,2.148476681871846e-18
3.813706163951036e-09,1.7933425301819388e-18
8.928723239268649e-10,1.388479600626275e-18
8.923880837243327e-10,1.316910958692628e-18
8.792645671695469e-10,5.790824541761759e-19
2.792022339370899e-10,3.7188934813218634e-19
2.783159219782715e-10,2.7501310547337838e-19
1.9067151907858945e-10,2.3342447203232633e-19
