Algorithm,Minimum,Maximum,Mean,Standard Deviation
Cuckoo Search,0.0,2.890648183040412e-07,1.2821157942729163e-08,5.3276022848517605e-08
Enhanced Cuckoo Search,1.0658141036401503e-14,6.582693501400172e-08,2.381152105120539e-09,1.1799229875900137e-08
