Algorithm,Minimum,Maximum,Mean,Standard Deviation
Cuckoo Search,3.552713678800501e-15,1.801431588788205e-05,6.007294384602346e-07,3.2336218614643636e-06
Enhanced Cuckoo Search,0.0,4.547473508864641e-13,3.232969447708456e-14,8.261033376946968e-14
