CSA,ECSA
6.424829805951049e-06,6.223815418593404e-08
3.439826203432972e-06,1.651709879979535e-10
2.2775958205656366e-05,1.92863644965513e-05
2.4194696166546237e-06,5.294591431947993e-10
6.585473499853833e-09,2.6659421337171807e-09
0.00023556095421461976,1.2434497875801753e-13
1.997621978944153e-08,1.4815952908975305e-09
2.3520262875109665e-06,1.1830181279037788e-10
2.2338668532739803e-06,5.370797140358263e-10
3.7068819889185534e-06,7.858602657506708e-11
5.950265795640064e-05,8.677056584360798e-08
2.264781233662916e-06,2.3003821070233244e-12
1.7829994966689355e-05,7.552038994163013e-09
0.00016062322712251387,3.278753268887158e-09
1.0886057320412714,1.2109424574191507e-11
2.9763043585262494e-08,3.1429188140918995e-09
2.541019306079306e-07,7.210232411125617e-12
2.330261850147508e-07,3.057458997091089e-08
1.4336811204884725e-07,1.0654037652102488e-09
4.2189783577839535e-07,2.824407374646398e-13
3.218258335380142e-07,2.0090595853616833e-12
6.205023339589388e-08,2.0963091706960313e-06
7.429689201643441e-07,2.596003412236314e-10
2.408117764574058e-05,1.3093526263219246e-11
5.095438559976628e-08,5.099370348204957e-08
9.611384044205806e-08,1.6418764481329617e-07
1.204330857262903e-09,3.7026044452659335e-09
6.685472087042399e-08,4.0239811482933874e-11
3.3928415632544784e-10,3.059811959360559e-09
4.242437903201335e-07,1.3055847958298727e-08
