Algorithm,Minimum,Maximum,Mean,Standard Deviation
Cuckoo Search,0.0,3.835467055068875e-09,3.508245545920848e-10,8.566289910817121e-10
Enhanced Cuckoo Search,0.0,2.7620217224466614e-10,9.642538619421732e-12,4.953469356321522e-11
