CSA,ECSA
1.1046991770528803e-105,1.21764483547973e-129
6.276503149579109e-88,4.969512777665668e-127
6.595981519852602e-101,2.1382040640751873e-110
1.131078667748334e-104,1.8621951623192693e-128
4.818632528294497e-94,8.66175336643881e-120
1.612270254069705e-86,4.832854027153523e-121
1.1256225754348222e-100,9.601312014689513e-118
2.5929957824820465e-108,8.285421291082334e-119
8.108594913531485e-102,1.530596319357008e-118
1.0685649247677459e-98,3.7701340262787194e-120
7.861660150347685e-97,2.799829433899535e-119
3.569938402096494e-85,4.77610219429457e-137
1.1418465469372176e-93,2.3966551412964653e-130
2.43289795327586e-92,5.902947258992732e-119
4.850255300332611e-92,6.268237083318277e-125
1.5963467730659869e-93,8.796864648708905e-129
7.46831336191441e-95,1.331765629438996e-133
3.0428806773276354e-95,4.686478454485309e-119
7.316990109254852e-98,1.6612250306739188e-124
2.096521072614289e-99,5.541979235457035e-119
3.13076534393512e-100,1.5199828110132534e-130
1.0498011424364858e-98,9.62989845802508e-120
5.2041964633143664e-98,8.050351709158271e-119
6.00220843099095e-95,3.6615805482864136e-130
3.9955386096591037e-103,1.8478706029368656e-121
1.5412348631055946e-105,8.530002700297658e-126
5.331634101816626e-107,1.573300707832402e-126
3.0961500409063206e-89,1.314125745662996e-129
6.786744349248679e-99,1.1957150234023232e-119
5.666030094856295e-103,4.1240900841962464e-116
