CSA,ECSA
2.904678724012751e-53,1.8156355361637892e-69
3.5516908710173115e-56,2.973155679971571e-68
1.0931628691376924e-54,5.520575121669926e-66
3.476828999487454e-54,3.5253276880422766e-70
1.1191011292667726e-56,7.499882474481977e-68
1.8833713755617823e-55,8.523724575160355e-66
2.6371062023066414e-55,1.509712548327804e-67
1.2026001968281677e-53,8.342524979516939e-70
1.5326174994363606e-56,1.2988391942758197e-66
6.501764613269945e-53,1.9713502222328268e-63
2.769520948041852e-51,2.454765118688553e-69
1.0278496513354593e-57,4.4083817447620076e-64
3.381794036125982e-54,6.048557086916788e-70
1.9248617916494865e-56,2.2596039065351967e-66
2.7602934747763937e-56,1.414462477934185e-66
9.950307903919797e-52,1.3368400414964635e-69
4.314165079918662e-55,3.0832020438983143e-69
2.1951771757457066e-54,1.4297403589744473e-72
1.9369690751769853e-55,2.5766369208051072e-67
5.431116277804725e-56,8.822411115644755e-67
2.0175567082627662e-58,1.3616007211149994e-67
2.5876536244097785e-52,1.4837986432446508e-64
3.980749379131155e-55,1.5099021920090188e-71
2.59628941677001e-52,1.4674636609730678e-67
5.45775416488377e-59,3.899195610350484e-68
3.3954040216833006e-54,8.574013340602884e-69
2.7858795857839873e-56,6.796966351565387e-68
7.629834935329292e-55,8.270508290652122e-70
2.6606817977790905e-56,2.6232487752969654e-71
6.831256621447971e-58,6.600228637558869e-71
