Algorithm,Minimum,Maximum,Mean,Standard Deviation
Cuckoo Search,3.552713678800501e-15,1.868456678266739e-08,1.4985424456881447e-09,3.782116623762105e-09
Enhanced Cuckoo Search,0.0,6.350830972223775e-11,2.276934196743241e-12,1.1375966255020684e-11
