CSA,ECSA
2.4062895125477137e-11,4.712058977350285e-27
3.5561321902916666e-11,1.1463412137455356e-32
1.0286160658712913e-11,1.3437278335578486e-26
1.6287492973584788e-12,2.3284190104884978e-27
6.476466438933313e-12,1.6726041532724706e-26
4.561401658777295e-11,1.0094110008756003e-25
4.565777157760965e-12,3.799953881127042e-29
1.6286866587637807e-13,5.152750503347261e-27
1.6229508693671374e-10,6.8165447769649255e-28
1.0993526825025523e-11,1.8045022756350352e-24
1.1320128837369092e-11,1.4580622127570644e-27
1.359914462088984e-13,1.7059569065494808e-28
1.2804063351462613e-09,2.3185316806786383e-27
2.322467589220921e-11,1.5685793346744426e-28
2.8488398476139926e-10,1.154215692247501e-28
7.44000784092418e-11,9.308827030673277e-29
5.7955263500561396e-12,8.799529360172338e-26
2.915619653101704e-11,3.787281122366337e-26
7.876757640605743e-10,8.454977691287214e-28
3.066697418451287e-11,3.1167610399958898e-28
1.9022289547108294e-12,1.0247376682183427e-26
2.4055791290831667e-10,7.320096367154519e-27
1.0802003617308107e-11,4.187075588947249e-26
3.847667006257156e-10,2.0141127534326577e-26
2.0535202448238193e-10,1.2668850054551699e-26
3.1313774607427142e-12,8.191346706593792e-29
3.880818985698829e-11,6.880818207569727e-28
5.363308488940742e-11,2.390644368004511e-26
1.0330127994925579e-10,4.859445284865256e-26
4.170336842718748e-11,4.534469487990312e-26
