CSA,ECSA
2.3197661569440697e-09,4.440892098500626e-16
2.296790757583267e-09,4.440892098500626e-16
4.59323690193969e-10,4.440892098500626e-16
1.4162226946723422e-10,4.440892098500626e-16
1.0878946632431052e-09,4.440892098500626e-16
4.937530384552247e-10,4.440892098500626e-16
5.120348589571222e-13,4.440892098500626e-16
2.2240431718500986e-11,4.440892098500626e-16
6.288094489548257e-10,4.440892098500626e-16
9.152505420217949e-10,4.440892098500626e-16
6.163785037927028e-10,4.440892098500626e-16
7.153357906020119e-10,4.440892098500626e-16
6.06132921632252e-11,4.440892098500626e-16
1.6286039183910361e-10,4.440892098500626e-16
4.373834627813267e-12,4.440892098500626e-16
6.677855157732893e-09,4.440892098500626e-16
2.386362218942395e-10,4.440892098500626e-16
4.0055470051925113e-10,4.440892098500626e-16
2.9860602879239195e-10,4.440892098500626e-16
1.7913226457721976e-11,4.440892098500626e-16
2.9090019282307367e-10,4.440892098500626e-16
9.731326855444422e-12,4.440892098500626e-16
8.188583144885797e-10,4.440892098500626e-16
5.442655215404102e-10,4.440892098500626e-16
4.139355525012434e-12,4.440892098500626e-16
1.0154228569092538e-09,4.440892098500626e-16
3.569455842011848e-11,4.440892098500626e-16
6.171476218952421e-09,4.440892098500626e-16
1.6305496064461522e-08,4.440892098500626e-16
2.1910340208819434e-10,4.440892098500626e-16
