CSA,ECSA
9.607559911963746e-18,5.650802155759526e-59
1.4056987285945635e-21,1.451949080378304e-50
5.150469322241591e-17,2.1042397191941656e-54
7.554676212732538e-17,4.027926541732011e-48
7.71651282965749e-15,2.048992072597147e-52
7.504677423664789e-18,2.9511735068188316e-54
6.908297883097929e-20,1.6070285975009967e-53
2.6408544804800246e-20,9.480674604878674e-48
3.6973264620550034e-21,3.2546824040787837e-56
6.528912766501454e-16,6.74281307719429e-50
1.2509768598394897e-18,5.691102632784273e-55
1.0615893871161617e-17,7.25909252653331e-51
4.4734069819919205e-17,1.9549429251289622e-50
2.679548149912409e-22,6.689536411317227e-55
7.675502063024865e-22,1.1831116469389312e-53
6.658403546566635e-20,3.570630136156543e-54
5.0459476471596315e-20,1.0036055603241261e-57
1.0215691705374359e-18,4.808351312855368e-59
1.0450853248321577e-16,8.728453144737669e-56
6.928480552536373e-16,1.300445211226666e-51
8.318959224244048e-19,6.029336587655177e-53
3.7284764334e-17,2.65565564216421e-51
3.594074948749979e-19,5.2411175791979566e-55
3.5573673697425437e-19,4.440111158092313e-53
6.611699350958196e-19,1.8608757866281723e-52
3.2090180448493626e-19,1.3296879299040102e-50
1.530816191066097e-20,1.733188697068357e-52
1.6571599550158185e-15,3.6377379759719664e-56
2.41155249925067e-17,8.0704567824492265e-53
3.585456792820908e-16,1.6006705318255891e-46
