Longitude,Latitude
120.9775385,14.5927624
120.9770705,14.5922753
120.9765299,14.59178873
120.9778568,14.5915772
120.9772112,14.59103541
120.978153,14.59048555
120.978547,14.58979045
120.9784961,14.58905256
120.9783629,14.58778925
120.9780779,14.58865733
120.9776749,14.58829138
120.9772239,14.58767714
120.9778308,14.58700689
120.9764236,14.58683728
120.9753045,14.58759359
120.9758581,14.58810131
120.9764195,14.58858467
120.9769909,14.58905376
120.9775632,14.58951584
120.9767735,14.59039536
120.9761993,14.58991981
120.9759633,14.59126486
120.9753988,14.59077829
120.9753881,14.59332029
120.9752587,14.59202663
120.9747219,14.59152093
120.9749043,14.59025556
120.9742969,14.58977592
120.9737609,14.58927701
120.9754344,14.58965106
120.9758304,14.58923731
120.9748009,14.58861119
120.9747861,14.59252432
120.9741877,14.59209204
120.9741793,14.59101153
120.9736144,14.591615
120.9730924,14.59108469
120.9736279,14.59050115
120.9729909,14.59021779
120.9725097,14.5908935
120.9720612,14.59146199
120.9725329,14.59168821
120.9738965,14.59290779
120.9725339,14.59276773
120.9719549,14.59228886
120.9730319,14.59356498
120.9754176,14.5864996
120.9744895,14.58755411
120.9758255,14.59254718
120.9766643,14.59329492
